sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
,COBRA,IND,85,120,-117.2181672,32.87254326,CS REGENTS PARK RW @ REGENTS RD SE
,COBRA,IND,85,120,-117.218473,32.8727798,CS REGENTS RD @ MIRAMAR ST NW
SX-003490-004,COBRA,IND,85,120,-117.2232982,32.87099724,L J VLG DR @ LEBON DR SEE
SX-003551-003,COBRA,IND,85,120,-117.2360067,32.8640778,GILMAN DR @ VILLA LA JOLLA DR SE
SX-003551-004,COBRA,IND,85,120,-117.2363205,32.86400731,GILMAN DR @ VILLA LA JOLLA DR SW
SX-003551-002,COBRA,IND,85,120,-117.2361411,32.86440849,GILMAN DR @ VILLA LA JOLLA DR NE
SX-003551-005,COBRA,IND,85,120,-117.2364048,32.86430643,GILMAN DR @ VILLA LA JOLLA DR NW
SX-003516-002,COBRA,IND,85,120,-117.2246826,32.86862229,LEBON DR @ NOBEL DR NEN
SS-015625-003,COBRA,IND,85,240,-117.2105439,32.87370994,AI LA JOLLA VILLAGE DRW/O EXECUTIVE WAY N/S
SX-003472-002,COBRA,IND,85,240,-117.2138682,32.87284733,AI GENESEE AV @ LA JOLLA VILLAGE DR NE-4303
SX-003472-005,COBRA,IND,85,240,-117.2142625,32.87226309,GENESEE AV S/O CHICKASAW CT/SAUK 500'
SX-003314-003,COBRA,IND,85,120,-117.2174957,32.89841465,LUSK BL @ VS SORRENTO PKWY NWW
SS-028085-006,COBRA,IND,165,240,-117.2109096,32.89360319,VISTA SORRENTO PY E/O DIRECTORS PL 300' N/S
SS-011996-004,COBRA,HPS,150,120,-117.2135659,32.87121802,GENESEE AV @ UNIVERSITY TOWNE CTR NE
SS-015625-002,SHOEBOX,HPS,150,120,-117.2108795,32.87303308,L J VLG DR E/O GENESEE AV 710' S/S
SS-015625-001,SHOEBOX,HPS,150,120,-117.2123321,32.87254753,
SS-008053-001,COBRA,HPS,250,120,-117.2158997,32.87017159,COSTA VERDE N/O PZ DE PALMAS 555' E/S
SS-011996-002,SHOEBOX,HPS,150,120,-117.2146004,32.8706994,
SS-011996-005,SHOEBOX,HPS,150,120,-117.2146149,32.8711296,GENESEE AV @ UNIVERSITY TOWNE CTR NW
,COBRA,IND,85,240,-117.2142875,32.87090171,CS GENESEE AV N/O ESPLANDE CT 287' W/S
SX-003347-002,COBRA,IND,85,120,-117.2115964,32.89392181,DIRECTORS PL @ VISTA SORRENTO PKWY NEN
SX-003523-005,COBRA,IND,85,240,-117.2335037,32.86741744,NOBEL DR @ VILLA L J DR SW/S
